Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/4/2020,AQS,60370002,1,13.6,ug/m3 LC,54,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/10/2020,AQS,60370002,1,5.8,ug/m3 LC,24,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/16/2020,AQS,60370002,1,17.5,ug/m3 LC,62,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/22/2020,AQS,60370002,1,10.3,ug/m3 LC,43,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/28/2020,AQS,60370002,1,6,ug/m3 LC,25,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/3/2020,AQS,60370002,1,2.7,ug/m3 LC,11,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/9/2020,AQS,60370002,1,10.8,ug/m3 LC,45,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/15/2020,AQS,60370002,1,13.5,ug/m3 LC,54,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/21/2020,AQS,60370002,1,8.5,ug/m3 LC,35,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/27/2020,AQS,60370002,1,3.1,ug/m3 LC,13,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/4/2020,AQS,60370002,1,11.4,ug/m3 LC,48,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/10/2020,AQS,60370002,1,2.3,ug/m3 LC,10,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/16/2020,AQS,60370002,1,5.3,ug/m3 LC,22,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/22/2020,AQS,60370002,1,2.6,ug/m3 LC,11,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/28/2020,AQS,60370002,1,5.5,ug/m3 LC,23,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/3/2020,AQS,60370002,1,10.3,ug/m3 LC,43,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/9/2020,AQS,60370002,1,0.7,ug/m3 LC,3,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/15/2020,AQS,60370002,1,5.1,ug/m3 LC,21,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/27/2020,AQS,60370002,1,11.3,ug/m3 LC,47,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/3/2020,AQS,60370002,1,9.4,ug/m3 LC,39,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/9/2020,AQS,60370002,1,17.5,ug/m3 LC,62,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
